LnID,DID,BLID,FLID,BNID,FNID,JCT,BLID2,BLID3,BLID4,FLID2,FLID3,FLID4,ClossID,Span,LCnt,Lno,LaneType,LimitVel,RefVel,RoadSecID,LaneChgFG,LinkWAID
276,0,275,277,276,277,0,0,0,0,0,0,0,0,1.073,1,1,0,20,20,0,0,0
277,0,276,278,277,278,0,0,0,0,0,0,0,0,1.065,1,1,0,20,20,0,0,0
278,0,277,279,278,279,0,0,0,0,0,0,0,0,1.069,1,1,0,20,20,0,0,0
279,0,278,280,279,280,0,0,0,0,0,0,0,0,1.058,1,1,0,20,20,0,0,0
280,20,279,281,280,281,0,0,0,0,0,0,0,0,1.08,1,1,0,20,20,0,0,0
281,20,280,282,281,282,0,0,0,0,0,0,0,0,1.051,1,1,0,20,20,0,0,0
282,20,281,283,282,283,0,0,0,0,0,0,0,0,1.007,1,1,0,20,20,0,0,0
283,20,282,284,283,284,0,0,0,0,0,0,0,0,1.499,1,1,0,20,20,0,0,0
284,20,283,285,284,285,0,0,0,0,0,0,0,0,1.447,1,1,0,20,20,0,0,0
285,20,284,286,285,286,0,0,0,0,0,0,0,0,1.402,1,1,0,20,20,0,0,0
286,20,285,287,286,287,0,0,0,0,0,0,0,0,1.39,1,1,0,20,20,0,0,0
287,20,286,1584,287,288,0,0,0,0,0,0,0,0,1.371,1,1,0,20,20,0,0,0
292,20,1586,293,292,293,0,0,0,0,0,0,0,0,1.174,1,1,0,20,20,0,0,0
293,20,292,294,293,294,0,0,0,0,0,0,0,0,1.177,1,1,0,20,20,0,0,0
294,20,293,295,294,295,0,0,0,0,0,0,0,0,1.142,1,1,0,20,20,0,0,0
295,20,294,296,295,296,0,0,0,0,0,0,0,0,1.163,1,1,0,20,20,0,0,0
296,20,295,297,296,297,0,0,0,0,0,0,0,0,1.168,1,1,0,20,20,0,0,0
297,20,296,298,297,298,0,0,0,0,0,0,0,0,1.18,1,1,0,20,20,0,0,0
298,20,297,299,298,299,0,0,0,0,0,0,0,0,1.208,1,1,0,20,20,0,0,0
299,20,298,300,299,300,0,0,0,0,0,0,0,0,1.235,1,1,0,20,20,0,0,0
300,20,299,301,300,301,0,0,0,0,0,0,0,0,1.242,1,1,0,20,20,0,0,0
301,20,300,302,301,302,0,0,0,0,0,0,0,0,1.376,1,1,0,20,20,0,0,0
302,20,301,303,302,303,0,0,0,0,0,0,0,0,1.151,1,1,0,20,20,0,0,0
303,20,302,304,303,304,0,0,0,0,0,0,0,0,1.264,1,1,0,20,20,0,0,0
304,20,303,305,304,305,0,0,0,0,0,0,0,0,1.175,1,1,0,20,20,0,0,0
305,20,304,306,305,306,0,0,0,0,0,0,0,0,1.169,1,1,0,20,20,0,0,0
306,20,305,307,306,307,0,0,0,0,0,0,0,0,1.233,1,1,0,20,20,0,0,0
307,20,306,308,307,308,0,0,0,0,0,0,0,0,1.217,1,1,0,20,20,0,0,0
308,20,307,309,308,309,0,0,0,0,0,0,0,0,1.353,1,1,0,20,20,0,0,0
309,20,308,310,309,310,0,0,0,0,0,0,0,0,1.346,1,1,0,20,20,0,0,0
310,20,309,311,310,311,0,0,0,0,0,0,0,0,1.398,1,1,0,20,20,0,0,0
311,20,310,312,311,312,0,0,0,0,0,0,0,0,1.448,1,1,0,20,20,0,0,0
312,20,311,1478,312,313,0,0,0,0,0,0,0,0,1.474,1,1,0,20,20,0,0,0
375,19,1477,376,375,376,0,0,0,0,0,0,0,0,1.007,1,1,0,20,20,0,0,0
376,19,375,377,376,377,0,0,0,0,0,0,0,0,1.489,1,1,0,20,20,0,0,0
377,19,376,378,377,378,0,0,0,0,0,0,0,0,1.032,1,1,0,20,20,0,0,0
378,19,377,379,378,379,0,0,0,0,0,0,0,0,1.042,1,1,0,20,20,0,0,0
379,19,378,380,379,380,0,0,0,0,0,0,0,0,1.444,1,1,0,20,20,0,0,0
380,19,379,381,380,381,0,0,0,0,0,0,0,0,1.377,1,1,0,20,20,0,0,0
381,19,380,382,381,382,0,0,0,0,0,0,0,0,1.395,1,1,0,20,20,0,0,0
382,19,381,383,382,383,0,0,0,0,0,0,0,0,1.329,1,1,0,20,20,0,0,0
383,19,382,384,383,384,0,0,0,0,0,0,0,0,1.258,1,1,0,20,20,0,0,0
384,19,383,385,384,385,0,0,0,0,0,0,0,0,1.176,1,1,0,20,20,0,0,0
385,19,384,386,385,386,0,0,0,0,0,0,0,0,1.067,1,1,0,20,20,0,0,0
