PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
349,0,0,72.7095,-273.169,368.0557,1,0,0,0
350,0,0,72.551,-271.3226,367.8937,1,0,0,0
351,0,0,72.3829,-269.4923,367.7259,1,0,0,0
352,0,0,72.2193,-267.6255,367.5486,1,0,0,0
353,0,0,72.067,-265.7674,367.3765,1,0,0,0
354,0,0,71.8994,-263.9251,367.2105,1,0,0,0
355,0,0,71.7358,-262.0479,367.0472,1,0,0,0
356,0,0,71.5836,-260.1491,366.8626,1,0,0,0
357,0,0,71.4037,-258.2514,366.7,1,0,0,0
358,0,0,71.2148,-256.3613,366.528,1,0,0,0
359,0,0,71.0374,-254.4555,366.358,1,0,0,0
360,0,0,70.8521,-252.5514,366.1806,1,0,0,0
361,0,0,70.6927,-250.6349,366.0058,1,0,0,0
362,0,0,70.5124,-248.7067,365.8388,1,0,0,0
363,0,0,70.3031,-246.7886,365.6662,1,0,0,0
364,0,0,70.1321,-244.8558,365.4848,1,0,0,0
365,0,0,69.9672,-242.9273,365.3036,1,0,0,0
366,0,0,69.7983,-241.0342,365.1375,1,0,0,0
367,0,0,69.6414,-239.1653,364.969,1,0,0,0
368,0,0,69.4986,-237.3121,364.8034,1,0,0,0
369,0,0,69.3402,-235.4254,364.6265,1,0,0,0
370,0,0,69.1964,-233.5094,364.4553,1,0,0,0
371,0,0,69.0749,-231.5845,364.2819,1,0,0,0
372,0,0,68.929,-229.6986,364.1188,1,0,0,0
373,0,0,68.8133,-227.8464,363.9444,1,0,0,0
374,0,0,68.6916,-225.9883,363.7599,1,0,0,0
375,0,0,68.5545,-224.1389,363.5673,1,0,0,0
376,0,0,68.4591,-222.2984,363.3915,1,0,0,0
377,0,0,68.3448,-220.4338,363.2296,1,0,0,0
378,0,0,68.2384,-218.5569,363.0628,1,0,0,0
379,0,0,68.1332,-216.7075,362.8935,1,0,0,0
380,0,0,68.0563,-214.8555,362.747,1,0,0,0
381,0,0,67.9824,-212.9858,362.6066,1,0,0,0
382,0,0,67.9036,-211.1234,362.451,1,0,0,0
383,0,0,67.8532,-209.261,362.3182,1,0,0,0
384,0,0,67.7799,-207.352,362.1965,1,0,0,0
385,0,0,67.7406,-205.4705,362.0728,1,0,0,0
386,0,0,67.67,-203.6087,361.9618,1,0,0,0
387,0,0,67.6532,-201.7259,361.8321,1,0,0,0
388,0,0,67.6177,-199.8358,361.6858,1,0,0,0
389,0,0,67.577,-197.9718,361.5438,1,0,0,0
390,0,0,67.547,-196.1252,361.4427,1,0,0,0
391,0,0,67.4979,-194.3215,361.3453,1,0,0,0
392,0,0,67.4785,-192.5125,361.2583,1,0,0,0
393,0,0,67.4497,-190.7116,361.1704,1,0,0,0
394,0,0,67.3884,-188.9245,361.0846,1,0,0,0
395,0,0,67.3705,-187.1802,360.9974,1,0,0,0
396,0,0,67.3613,-185.4718,360.9205,1,0,0,0
397,0,0,67.3315,-183.8286,360.8584,1,0,0,0
398,0,0,67.3272,-182.2412,360.8005,1,0,0,0
399,0,0,67.3132,-180.6877,360.766,1,0,0,0
400,0,0,67.278,-179.2044,360.7149,1,0,0,0
401,0,0,67.2545,-177.7943,360.6892,1,0,0,0
402,0,0,67.2589,-176.4394,360.6678,1,0,0,0
403,0,0,67.2499,-175.1427,360.6549,1,0,0,0
404,0,0,67.2446,-173.9095,360.6446,1,0,0,0
405,0,0,67.2566,-172.7391,360.6748,1,0,0,0
406,0,0,67.251,-171.6402,360.7205,1,0,0,0
407,0,0,67.2358,-170.6083,360.7692,1,0,0,0
408,0,0,67.263,-169.6017,360.8488,1,0,0,0
409,0,0,67.2948,-168.2195,361.0212,1,0,0,0
410,0,0,67.3187,-166.9571,361.2427,1,0,0,0
411,0,0,67.3517,-165.824,361.5166,1,0,0,0
412,0,0,67.3585,-164.7417,361.8527,1,0,0,0
413,0,0,67.421,-163.6912,362.2564,1,0,0,0
414,0,0,67.5325,-162.7204,362.6963,1,0,0,0
415,0,0,67.7778,-161.6731,363.4726,1,0,0,0
416,0,0,67.7921,-160.7381,364.0237,1,0,0,0
417,0,0,67.9109,-159.995,364.9401,1,0,0,0
418,0,0,68.1099,-159.2405,365.7867,1,0,0,0
419,0,0,68.2231,-158.6364,366.6883,1,0,0,0
420,0,0,68.4497,-158.0826,367.5764,1,0,0,0
421,0,0,68.6222,-157.6334,368.4807,1,0,0,0
422,0,0,68.8845,-157.1303,369.4951,1,0,0,0
423,0,0,69.1019,-156.7382,370.4438,1,0,0,0
424,0,0,69.3276,-156.3375,371.409,1,0,0,0
425,0,0,69.5531,-155.9181,372.3512,1,0,0,0
426,0,0,69.8197,-155.43,373.2803,1,0,0,0
427,0,0,71.5168,-112.6206,380.3302,1,0,0,0
428,0,0,71.307,-112.7242,379.3129,1,0,0,0
429,0,0,71.0654,-112.8313,378.2352,1,0,0,0
430,0,0,70.7733,-112.887,377.0744,1,0,0,0
431,0,0,70.5241,-112.9093,376.0015,1,0,0,0
432,0,0,70.2395,-112.94,374.841,1,0,0,0
433,0,0,69.9807,-112.9632,373.7268,1,0,0,0
434,0,0,69.7106,-112.9803,372.6324,1,0,0,0
435,0,0,69.4137,-113.0126,371.5351,1,0,0,0
436,0,0,69.1536,-113.0276,370.5048,1,0,0,0
437,0,0,68.922,-113.0801,369.4972,1,0,0,0
438,0,0,68.6336,-113.1336,368.3768,1,0,0,0
439,0,0,68.3527,-113.2028,367.3519,1,0,0,0
440,0,0,68.0989,-113.299,366.2271,1,0,0,0
441,0,0,67.8391,-113.4432,365.0437,1,0,0,0
442,0,0,67.607,-113.666,363.8634,1,0,0,0
443,0,0,67.3709,-113.9697,362.666,1,0,0,0
444,0,0,67.2197,-114.3781,361.5524,1,0,0,0
445,0,0,67.0329,-114.9286,360.507,1,0,0,0
446,0,0,66.893,-115.5592,359.5069,1,0,0,0
447,0,0,66.7762,-116.3769,358.6081,1,0,0,0
448,0,0,66.6363,-117.3611,357.8032,1,0,0,0
449,0,0,66.5434,-118.5196,357.1522,1,0,0,0
450,0,0,66.4783,-119.5326,356.7934,1,0,0,0
451,0,0,66.4156,-120.6146,356.5139,1,0,0,0
452,0,0,66.3882,-121.8071,356.3228,1,0,0,0
453,0,0,66.3523,-123.1139,356.2094,1,0,0,0
454,0,0,66.3391,-124.4591,356.142,1,0,0,0
455,0,0,66.3291,-125.9064,356.1127,1,0,0,0
456,0,0,66.3208,-127.4088,356.1078,1,0,0,0
457,0,0,66.3171,-128.4534,356.1257,1,0,0,0
458,0,0,66.3189,-129.5311,356.143,1,0,0,0
459,0,0,66.3499,-130.6143,356.1576,1,0,0,0
460,0,0,66.3596,-131.7155,356.1804,1,0,0,0
461,0,0,66.3416,-132.8526,356.2125,1,0,0,0
462,0,0,66.3498,-133.9951,356.2593,1,0,0,0
463,0,0,66.3454,-135.1685,356.2842,1,0,0,0
464,0,0,66.3396,-136.3609,356.3078,1,0,0,0
465,0,0,66.3624,-137.5583,356.3504,1,0,0,0
466,0,0,66.3772,-138.7677,356.4066,1,0,0,0
