PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE
318,,,50.5387,-157.3231,244.8037,1,,,
319,,,50.7532,-158.0731,245.7282,1,,,
320,,,50.9455,-158.7327,246.5303,1,,,
321,,,51.2016,-159.4312,247.3849,1,,,
322,,,51.4633,-160.2278,248.3389,1,,,
323,,,51.7529,-161.0831,249.3819,1,,,
324,,,51.9548,-161.7138,250.1593,1,,,
325,,,52.1532,-162.3811,250.941,1,,,
326,,,52.3654,-163.0776,251.7793,1,,,
327,,,52.5853,-163.7702,252.656,1,,,
328,,,52.8228,-164.4931,253.5386,1,,,
329,,,53.088,-165.2145,254.3957,1,,,
330,,,53.3541,-165.9423,255.2876,1,,,
331,,,53.5992,-166.6954,256.2205,1,,,
332,,,53.8597,-167.4791,257.1795,1,,,
333,,,54.1445,-168.2724,258.1279,1,,,
334,,,54.42,-169.0579,259.0834,1,,,
335,,,54.6856,-169.8556,260.0549,1,,,
336,,,54.9715,-170.6374,261.0101,1,,,
337,,,55.2501,-171.4483,261.9908,1,,,
338,,,55.5388,-172.267,263.0025,1,,,
339,,,55.8366,-173.0988,264.0,1,,,
340,,,56.1039,-173.9174,265.0081,1,,,
341,,,56.42,-174.7629,266.0194,1,,,
342,,,56.7253,-175.6185,267.0491,1,,,
343,,,57.0045,-176.4684,268.1216,1,,,
344,,,57.2965,-177.2949,269.1458,1,,,
345,,,57.6306,-178.1459,270.1517,1,,,
346,,,57.9218,-178.9855,271.2013,1,,,
347,,,58.1998,-179.8433,272.2628,1,,,
348,,,58.5492,-180.7156,273.2812,1,,,
349,,,58.8719,-181.5669,274.3227,1,,,
350,,,59.2055,-182.4291,275.3717,1,,,
351,,,59.5293,-183.2683,276.4099,1,,,
352,,,59.819,-184.1115,277.4431,1,,,
353,,,60.1146,-184.962,278.4839,1,,,
354,,,60.451,-185.7684,279.5022,1,,,
355,,,60.76,-186.5711,280.5272,1,,,
356,,,61.0485,-187.3836,281.5121,1,,,
357,,,61.3519,-188.1751,282.4925,1,,,
358,,,61.6735,-188.9332,283.4447,1,,,
359,,,61.9774,-189.6599,284.3771,1,,,
360,,,62.2671,-190.4055,285.3159,1,,,
361,,,62.5359,-191.1523,286.2444,1,,,
362,,,62.802,-191.8638,287.1635,1,,,
363,,,63.1096,-192.5357,288.0715,1,,,
364,,,63.3945,-193.2507,288.9335,1,,,
365,,,63.636,-193.9278,289.7946,1,,,
366,,,63.8956,-194.5626,290.6796,1,,,
367,,,64.1481,-195.2132,291.4551,1,,,
368,,,64.5465,-196.1075,292.6475,1,,,
369,,,64.8979,-197.0075,293.8168,1,,,
370,,,65.2307,-197.8846,294.949,1,,,
371,,,65.5654,-198.7024,296.1002,1,,,
372,,,65.8952,-199.5231,297.1802,1,,,
373,,,66.1927,-200.3196,298.2699,1,,,
374,,,66.5111,-201.0873,299.3755,1,,,
375,,,66.815,-201.835,300.4612,1,,,
376,,,67.1087,-202.5741,301.4986,1,,,
377,,,67.3824,-203.2826,302.4976,1,,,
378,,,67.6705,-204.0096,303.482,1,,,
379,,,67.9752,-204.7845,304.4532,1,,,
380,,,68.2184,-205.6089,305.384,1,,,
381,,,68.5089,-206.4751,306.2918,1,,,
382,,,68.7921,-207.4084,307.1628,1,,,
383,,,69.0722,-208.3796,307.9857,1,,,
384,,,69.3666,-209.3768,308.7323,1,,,
385,,,69.6075,-210.4472,309.3904,1,,,
386,,,69.8842,-211.592,310.0366,1,,,
387,,,70.1862,-212.7185,310.5714,1,,,
388,,,70.4822,-213.9142,311.0678,1,,,
389,,,70.7825,-215.1281,311.5091,1,,,
390,,,71.0512,-216.3457,311.8896,1,,,
391,,,71.3002,-217.5629,312.2263,1,,,
392,,,71.5569,-218.7738,312.533,1,,,
393,,,71.8141,-219.986,312.8128,1,,,
